Year,Month,SE,CE,NE,NO,NW,CW,SW
2018,3,10.64096793,8.568159102,2.109869082,1.124455686,6.79366016,4.770856171,1.839091464
2018,4,15.5946298,10.90571198,3.456761618,1.606985923,3.612803475,4.591173189,5.456691377
2018,5,19.84084719,13.39211791,15.8503102,2.980770726,4.729287651,5.600093106,9.01085055
2018,6,15.79499006,6.840568458,8.44896688,5.095769532,12.36735372,9.529982137,15.40764624
2018,7,9.873691367,7.83582075,7.470083074,5.518823307,19.29197673,17.47229883,17.35811327
2018,8,10.30128413,4.989790031,5.239526279,4.629801089,14.85867462,7.77964182,14.07254082
2018,9,20.20913301,12.12239096,3.911235087,1.936024403,5.082525916,7.272357946,15.12457003
2018,10,11.25159786,11.52053236,14.45859322,4.465878282,5.433514641,6.370025504,8.742357601
2018,11,26.20001224,13.41958552,4.246542049,1.630763695,6.284346776,5.551199388,5.08059317
2018,12,11.89947195,9.410299146,1.439231425,1.538516236,5.522996875,8.686092322,8.806345597
